time,mRNA,protein
0.0,1.0,1.0
0.42016806722689076,12.448021553791726,3.2267764236077237
0.8403361344537815,22.12499989547281,8.615164355289314
1.2605042016806722,30.30492071473915,16.011703566587585
1.680672268907563,37.21938329297455,24.567261052847034
2.100840336134454,43.064157809182596,33.66609785500754
2.5210084033613445,48.00472820731469,42.870429179567545
2.9411764705882355,52.18097757798153,51.87722427192877
3.361344537815126,55.71114866570883,60.48465946842309
3.7815126050420167,58.695191716566065,68.56616647768077
4.201680672268908,61.21759437349783,76.05044689755505
4.621848739495799,63.349773788201475,82.90615921402146
5.042016806722689,65.15209866217346,89.13025624170177
5.46218487394958,66.67559847844052,94.73916526125461
5.882352941176471,67.96340831282384,99.76217437332039
6.302521008403361,69.05199010995219,104.23652465251998
6.722689075630252,69.97216504376267,108.2038141699247
7.142857142857143,70.74998615067767,111.7074068401261
7.563025210084033,71.40747600763359,114.7906048087733
7.983193277310924,71.96325021595126,117.49539914944525
8.403361344537815,72.4330444937773,119.86165134904128
8.823529411764707,72.83016019077482,121.92659564346069
9.243697478991598,73.16584090133304,123.72457456547713
9.663865546218487,73.44959080105946,125.28694290594129
10.084033613445378,73.68944374223521,126.64208927004746
10.504201680672269,73.8921907159109,127.81553790992301
10.92436974789916,74.06357211630278,128.8301024873366
11.344537815126051,74.20844031969821,129.7060705127742
11.764705882352942,74.33089700291285,130.46140442414887
12.184873949579831,74.43440926481571,131.11194717661445
12.605042016806722,74.52190786460353,131.67162481864528
13.025210084033613,74.59587017156866,132.15264208586703
13.445378151260504,74.6583902747939,132.56566660303318
13.865546218487395,74.71123832403013,132.92000014050214
14.285714285714286,74.75591057985639,133.2237360166505
14.705882352941178,74.79367189861296,133.4839024672407
15.126050420168067,74.82559143814011,133.70659192450782
15.546218487394958,74.85257293936326,133.89707705395216
15.966386554621849,74.87538021129704,134.05991393748818
16.386554621848738,74.89465919389515,134.19903528303206
16.80672268907563,74.910955682478,134.3178302753599
17.22689075630252,74.92473105935522,134.4192168387631
17.647058823529413,74.93637535189686,134.50570438948637
